# charmodel v2 lang=en order=4 alpha=0.4 total_unigrams=558589
$	50000
^	150000
a	30804
b	7083
c	14901
d	14131
e	39607
f	5074
g	10265
h	9046
i	29688
j	972
k	3972
l	18610
m	10590
n	26079
o	22626
p	10023
q	624
r	26414
s	27181
t	23608
u	11427
v	4056
w	3580
x	1061
y	5956
z	1211
^^	100000
^a	3239
^b	3023
^c	4661
^d	2859
^e	1994
^f	2047
^g	1769
^h	1997
^i	1888
^j	630
^k	756
^l	1748
^m	3052
^n	1181
^o	1143
^p	3540
^q	213
^r	2819
^s	5306
^t	2457
^u	1003
^v	824
^w	1395
^x	65
^y	237
^z	154
a$	2177
aa	76
ab	999
ac	1582
ad	1188
ae	127
af	285
ag	815
ah	231
ai	1065
aj	54
ak	434
al	3448
am	1254
an	4375
ao	70
ap	889
aq	34
ar	3666
as	1727
at	4082
au	593
av	500
aw	290
ax	111
ay	567
az	165
b$	224
ba	1061
bb	192
bc	43
bd	33
be	999
bf	11
bg	5
bh	29
bi	713
bj	31
bk	2
bl	1043
bm	29
bn	19
bo	849
bp	17
bq	1
br	704
bs	267
bt	50
bu	617
bv	11
bw	7
bx	1
by	124
bz	1
c$	888
ca	1944
cb	20
cc	289
cd	33
ce	1551
cf	21
cg	20
ch	1849
ci	955
cj	2
ck	1050
cl	580
cm	35
cn	20
co	2560
cp	28
cq	23
cr	834
cs	203
ct	1119
cu	654
cv	6
cw	4
cx	1
cy	205
cz	7
d$	4978
da	827
db	51
dc	41
dd	250
de	2660
df	53
dg	167
dh	61
di	1922
dj	31
dk	11
dl	276
dm	112
dn	69
do	808
dp	39
dq	5
dr	444
ds	529
dt	33
du	417
dv	75
dw	86
dx	2
dy	182
dz	2
e$	5879
ea	1748
eb	278
ec	1302
ed	4425
ee	913
ef	441
eg	481
eh	155
ei	446
ej	38
ek	111
el	2086
em	1047
en	3956
eo	310
ep	669
eq	113
er	6596
es	4823
et	1532
eu	231
ev	539
ew	354
ex	580
ey	459
ez	95
f$	262
fa	561
fb	8
fc	21
fd	7
fe	628
ff	430
fg	8
fh	4
fi	880
fj	3
fk	3
fl	427
fm	14
fn	7
fo	626
fp	10
fr	414
fs	69
ft	195
fu	397
fv	1
fw	8
fx	3
fy	88
g$	3639
ga	819
gb	26
gc	8
gd	23
ge	1358
gf	15
gg	242
gh	512
gi	671
gj	2
gk	5
gl	351
gm	62
gn	230
go	502
gp	17
gq	2
gr	797
gs	321
gt	68
gu	425
gv	2
gw	21
gx	1
gy	143
gz	3
h$	968
ha	1712
hb	43
hc	21
hd	35
he	1892
hf	29
hg	7
hh	39
hi	1260
hj	2
hk	8
hl	97
hm	119
hn	73
ho	1274
hp	18
hq	3
hr	282
hs	120
ht	329
hu	382
hv	3
hw	46
hx	1
hy	279
hz	4
i$	746
ia	1380
ib	428
ic	2370
id	955
ie	1605
if	510
ig	843
ih	24
ii	32
ij	23
ik	172
il	1586
im	942
in	7634
io	2323
ip	562
iq	55
ir	946
is	2784
it	2207
iu	128
iv	854
iw	15
ix	83
iy	13
iz	468
j$	36
ja	226
jb	2
jc	2
jd	1
je	189
jf	3
jg	1
jh	3
ji	82
jj	3
jk	2
jl	2
jm	1
jn	2
jo	191
jp	9
jq	1
jr	2
js	5
jt	1
ju	203
jv	2
jw	2
jy	1
k$	699
ka	324
kb	27
kc	7
kd	15
ke	1052
kf	22
kg	6
kh	69
ki	634
kj	5
kk	16
kl	147
km	28
kn	96
ko	138
kp	27
kr	69
ks	324
kt	24
ku	70
kv	4
kw	40
ky	129
l$	1966
la	2355
lb	99
lc	97
ld	441
le	3475
lf	123
lg	78
lh	28
li	2877
lj	3
lk	119
ll	1994
lm	155
ln	37
lo	1594
lp	95
lr	29
ls	544
lt	408
lu	609
lv	141
lw	28
lx	1
ly	1308
lz	6
m$	906
ma	2162
mb	448
mc	144
md	13
me	1904
mf	29
mg	15
mh	10
mi	1504
mj	1
mk	3
ml	52
mm	432
mn	55
mo	1161
mp	858
mq	2
mr	26
ms	277
mt	25
mu	418
mv	13
mw	16
mx	3
my	109
mz	4
n$	4142
na	1783
nb	97
nc	1258
nd	1868
ne	2480
nf	332
ng	4345
nh	121
ni	1663
nj	70
nk	310
nl	113
nm	71
nn	579
no	936
np	67
nq	43
nr	89
ns	2026
nt	2882
nu	275
nv	212
nw	63
nx	13
ny	179
nz	62
o$	1122
oa	393
ob	414
oc	680
od	656
oe	162
of	220
og	563
oh	104
oi	334
oj	32
ok	302
ol	1473
om	1238
on	4888
oo	984
op	786
oq	11
or	3079
os	1032
ot	960
ou	1589
ov	530
ow	720
ox	121
oy	183
oz	50
p$	541
pa	1226
pb	18
pc	36
pd	25
pe	1653
pf	17
pg	21
ph	575
pi	829
pj	3
pk	15
pl	776
pm	39
pn	17
po	1082
pp	549
pq	1
pr	1296
ps	394
pt	398
pu	394
pv	6
pw	12
px	2
py	96
pz	2
q$	26
qa	9
qb	3
qc	2
qe	1
qf	1
qi	9
ql	3
qm	1
qo	1
qp	2
qq	2
qr	1
qs	4
qt	1
qu	557
qv	1
r$	2994
ra	3448
rb	266
rc	483
rd	765
re	4697
rf	149
rg	441
rh	104
ri	3234
rj	13
rk	319
rl	338
rm	584
rn	568
ro	2379
rp	243
rq	19
rr	673
rs	1840
rt	1198
ru	676
rv	227
rw	85
rx	6
ry	649
rz	16
s$	10113
sa	1006
sb	89
sc	864
sd	58
se	2193
sf	76
sg	37
sh	1428
si	1695
sj	7
sk	228
sl	405
sm	426
sn	176
so	929
sp	851
sq	86
sr	64
ss	1463
st	3605
su	905
sv	26
sw	203
sx	7
sy	238
sz	3
t$	2920
ta	2128
tb	78
tc	291
td	27
te	4314
tf	84
tg	23
th	1415
ti	4625
tj	1
tk	10
tl	393
tm	96
tn	64
to	1747
tp	43
tq	1
tr	1715
ts	1221
tt	832
tu	744
tv	17
tw	128
tx	5
ty	634
tz	52
u$	249
ua	474
ub	388
uc	492
ud	342
ue	469
uf	130
ug	346
uh	29
ui	432
uj	14
uk	61
ul	1008
um	677
un	1649
uo	70
up	399
uq	6
ur	1626
us	1448
ut	966
uu	6
uv	43
uw	6
ux	40
uy	21
uz	36
v$	130
va	629
vb	1
vc	6
vd	6
ve	1914
vf	4
vg	5
vh	3
vi	919
vj	1
vk	2
vl	11
vm	5
vn	2
vo	315
vp	8
vr	17
vs	19
vt	5
vu	26
vv	3
vw	1
vx	1
vy	23
w$	266
wa	780
wb	30
wc	19
wd	38
we	618
wf	17
wg	3
wh	205
wi	540
wj	2
wk	23
wl	84
wm	17
wn	211
wo	379
wp	10
wr	119
ws	139
wt	24
wu	8
wv	2
ww	12
wy	34
x$	211
xa	58
xb	4
xc	85
xd	1
xe	109
xf	6
xh	24
xi	166
xl	9
xm	5
xn	1
xo	38
xp	152
xq	2
xr	2
xs	2
xt	124
xu	27
xv	5
xw	1
xx	9
xy	20
